City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
124,Harper,LR,78.76,broken clouds,4.375,-7.7169,Screensaver
126,Noumea,NC,73.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
127,Bethel,US,76.15,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
128,Ancud,CL,46.22,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
129,Asau,RO,76.12,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
130,Qaanaaq,GL,30.42,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
131,Mehamn,NO,46.31,few clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
132,Zhigansk,RU,46.53,clear sky,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
133,Lagoa,PT,63.01,scattered clouds,39.05,-27.9833,Casa Das Faias
134,Kibala,TD,84.15,clear sky,9.1104,18.3463,hotel safari
135,Wageningen,NL,64.78,overcast clouds,51.9667,5.6667,Fletcher Hotel-Restaurant De Wageningsche Berg
136,Antofagasta,CL,67.21,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
137,Balkhash,KZ,67.14,few clouds,46.844,74.9804,Family
138,Umm Lajj,SA,87.8,overcast clouds,25.0213,37.2685,Moon light Furnished Units
139,Pevek,RU,32.86,snow,69.7008,170.3133,Severnoye Zoloto
140,Valley City,US,68.52,clear sky,46.9233,-98.0032,AmericInn by Wyndham Valley City Conference Center
141,Suez,EG,80.53,clear sky,29.9737,32.5263,Green House
142,Tasiilaq,GL,35.76,broken clouds,65.6145,-37.6368,The Red House
143,Upernavik,GL,30.96,overcast clouds,72.7868,-56.1549,Café de Upernavik
144,Kaseda,JP,66.24,broken clouds,31.4167,130.3167,Sun Stay Kaseda
145,North Battleford,CA,64.49,clear sky,52.7834,-108.2847,Tropical Inn
146,Kodiak,US,65.71,broken clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
147,Waipawa,NZ,49.62,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
148,Goderich,CA,54.91,few clouds,43.7501,-81.7165,Harmony Inn
149,Onega,RU,59.07,overcast clouds,63.9061,38.1404,Lunny Kot Guest House
150,Trogir,HR,80.65,clear sky,43.5125,16.2517,Hotel Medena
151,Vardo,NO,44.58,clear sky,70.3705,31.1107,Vardø Hotel AS
153,Lisa,RO,76.03,few clouds,43.8,25.1333,scarlat cottages
155,Huntingdon,GB,63.93,broken clouds,52.3305,-0.1865,Huntingdon Marriott Hotel
156,Bengkulu,ID,74.7,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
157,Ribeira Grande,PT,68.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
158,Labuhan,ID,77.13,broken clouds,-6.8844,112.2051,DoubleFAG
159,Aasiaat,GL,33.67,scattered clouds,68.7098,-52.8699,Hotel Aasiaat Sømandshjem
160,Lima,PE,69.39,broken clouds,-12.0432,-77.0282,Hotel Kamana
161,Nanakuli,US,78.75,broken clouds,21.3906,-158.1547,Camp Pālehua
162,Hermanus,ZA,57.22,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
163,Aniche,FR,67.96,clear sky,50.33,3.2535,AFEJI - FOYER DE VIE
164,Sarangani,PH,82.56,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
165,Mirwah,YE,78.96,broken clouds,13.9228,43.9176,عاصم المليكي
166,Vao,NC,72.43,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
168,Kupang,ID,77.09,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
169,Turukhansk,RU,38.88,overcast clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
170,That Phanom,TH,78.31,light rain,16.9364,104.7104,ณ ธาตุพนมเพลส Na That Panom Place Hotel
171,Nampa,US,79.84,clear sky,43.5407,-116.5635,Nampa Downtown
172,Halayhay,PH,83.19,overcast clouds,14.3739,120.8133,Tanza Oasis Hotel and Resort
173,Muravlenko,RU,30.22,overcast clouds,63.7898,74.523,Hostel Rus Muravlenko
