City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Kapaa,US,2022-06-02 18:47:56,22.0752,-159.319,79.12,81,40,8.05,scattered clouds
202,Asfi,MA,2022-06-02 18:47:56,32.2994,-9.2372,68.43,73,0,8.81,clear sky
203,San Quintin,MX,2022-06-02 18:47:56,30.4833,-115.95,68.16,65,2,10.6,clear sky
204,Cockburn Town,TC,2022-06-02 18:47:57,21.4612,-71.1419,80.55,77,100,14.88,overcast clouds
205,Koryazhma,RU,2022-06-02 18:47:57,61.3143,47.1691,61.54,75,47,3.29,scattered clouds
206,Kijang,KR,2022-06-02 18:47:58,35.2442,129.2139,65.93,74,2,4.74,clear sky
207,Usinsk,RU,2022-06-02 18:47:58,65.9939,57.5281,40.19,38,0,14.34,clear sky
208,Maarianhamina,AX,2022-06-02 18:47:58,60.0973,19.9348,49.86,93,20,9.22,few clouds
209,Vanavara,RU,2022-06-02 18:47:59,60.34,102.2797,48.58,97,88,7.34,overcast clouds
210,Nanortalik,GL,2022-06-02 18:47:59,60.1432,-45.2371,40.55,79,17,1.68,few clouds
211,Cherskiy,RU,2022-06-02 18:48:00,68.75,161.3,39.45,71,100,12.01,overcast clouds
212,Yuanping,CN,2022-06-02 18:48:00,38.7153,112.7575,67.37,40,89,0.27,overcast clouds
213,Wagar,SD,2022-06-02 18:48:00,16.1525,36.2032,97.36,9,93,17.27,overcast clouds
214,Buchanan,LR,2022-06-02 18:48:01,5.8808,-10.0467,79.27,85,100,8.12,light rain
215,Skjervoy,NO,2022-06-02 18:48:01,70.0311,20.9714,62.6,60,40,11.65,scattered clouds
216,Grand Gaube,MU,2022-06-02 18:48:01,-20.0064,57.6608,73.8,77,9,5.01,clear sky
217,Lerwick,GB,2022-06-02 18:48:02,60.1545,-1.1494,51.8,80,14,12.91,few clouds
218,Shubarkuduk,KZ,2022-06-02 18:48:02,49.1447,56.4872,65.37,49,0,6.67,clear sky
219,Rocha,UY,2022-06-02 18:44:26,-34.4833,-54.3333,48.94,63,100,9.51,overcast clouds
220,Qui Nhon,VN,2022-06-02 18:46:45,13.7667,109.2333,79.25,80,100,5.3,overcast clouds
